name,date,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_of_week_Monday,day_of_week_Tuesday,day_of_week_Wednesday,day_of_week_Thursday,tavg,SALES
"New York, NY",2021-01-04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36.40510859838932,19635.73014
"New York, NY",2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35.895550313186355,44500.5141
"New York, NY",2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.48157488001301,36385.41986
"New York, NY",2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.60253802977304,40387.67507
"New York, NY",2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.32864231676563,47292.6916
"New York, NY",2021-01-11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.870007321239726,14380.30604
"New York, NY",2021-01-12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28.634344749044168,40262.24188
"New York, NY",2021-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33.09297974457007,40012.69736
"New York, NY",2021-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.679004311396724,44614.7941
"New York, NY",2021-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.729927601073776,44995.94069
"New York, NY",2021-01-18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34.749044171479696,16537.19014
"New York, NY",2021-01-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39.97201659481005,49206.45514
"New York, NY",2021-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34.876433742780435,48031.04063
"New York, NY",2021-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.3859920279834,51812.38076
"New York, NY",2021-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.15032945578784,50849.47028
"New York, NY",2021-01-25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.17587244773448,18117.36201
"New York, NY",2021-01-26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35.13121288538192,47847.98139
"New York, NY",2021-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33.22036931587081,47626.70549
"New York, NY",2021-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.379565606442686,51376.65451
"New York, NY",2021-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.23948588627673,51257.75597
"New York, NY",2021-02-01,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.94591328725411,20333.0991
"New York, NY",2021-02-02,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41.623858088839484,60033.54965
"New York, NY",2021-02-03,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46.23587413601431,54691.28104
"New York, NY",2021-02-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.03808787278265,67031.81674
"New York, NY",2021-02-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.475083377640296,66758.16819
"New York, NY",2021-02-08,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.89690173522162,20375.91938
"New York, NY",2021-02-09,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31.209628304896324,51259.1934
"New York, NY",2021-02-10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26.30006283532312,47252.86125
"New York, NY",2021-02-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.32456861133936,40957.66396
"New York, NY",2021-02-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.836821499347483,61373.51965
"New York, NY",2021-02-15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.447097491420562,
"New York, NY",2021-02-16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.447097491420562,
"New York, NY",2021-02-17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.158876697762096,
"New York, NY",2021-02-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.283145632945047,
"New York, NY",2021-02-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.836821499347483,34748.63576
"New York, NY",2021-02-22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42.96283048963218,31575.27479
"New York, NY",2021-02-23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51.442989027985895,76221.33278
"New York, NY",2021-02-24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55.31113151916478,73655.25625
"New York, NY",2021-02-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.30180289042487,77332.32882
